,book_title,book_recommendation_urls
27,Coffee Break Collection 006 - Food and Drink,"['https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/spirits-in-bondage-by-cs-lewis/', 'https://librivox.org/short-poetry-collection-001/', 'https://librivox.org/short-poetry-collection-002/', 'https://librivox.org/short-poetry-collection-003/']"
28,Near and Far,"['https://librivox.org/a-ballad-of-john-silver-by-john-masefield/', 'https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/', 'https://librivox.org/a-vagabond-song-by-bliss-carman/', 'https://librivox.org/death-be-not-proud-by-john-donne/', 'https://librivox.org/a-noiseless-patient-spider-by-walt-whitman/']"
29,Hindu Book of Astrology,"['https://librivox.org/is-he-popenjoy-by-anthony-trollope/', 'https://librivox.org/mudfog-and-other-sketches-by-charles-dickens/', 'https://librivox.org/invention-and-discovery-curious-facts-and-characteristic-sketches-by-unknown/', 'https://librivox.org/st-rose-of-lima-the-flower-of-the-new-world-by-florence-mary-capes/', 'https://librivox.org/the-mummy-and-miss-nitocris-a-phantasy-of-the-fourth-dimension-by-george-griffith/']"
30,Journey to the Centre of the Earth,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/penguin-island-by-anatole-france/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
31,"Wit and Humor of America, Vol 05","['https://librivox.org/the-junior-classics-vol-1-by-william-patten/', 'https://librivox.org/crome-yellow-by-aldous-huxley/', 'https://librivox.org/little-wizard-stories-of-oz-by-l-frank-baum/', 'https://librivox.org/reginald-by-saki/', 'https://librivox.org/the-little-lame-prince-by-miss-mulock/']"
32,Brief Account of the Bahai Movement,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-getting-of-wisdom-by-henry-handel-richardson/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
33,Reconciliation of Races and Religions,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/the-truth-about-jesus-is-he-a-myth-by-m-m-mangasarian/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
34,Witches of New York,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/ranald-bannermans-boyhood-by-george-macdonald/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
35,Mad Planet,"['https://librivox.org/introduction-to-the-philosophy-of-history-by-georg-wilhelm-freidreich-hegel/', 'https://librivox.org/sir-gawain-and-the-green-knight-neilson-version/', 'https://librivox.org/women-in-love-by-d-h-lawrence/', 'https://librivox.org/the-confessions-by-saint-augustine-of-hippo/', 'https://librivox.org/valley-of-silent-men-by-j-o-curwood/', 'https://librivox.org/sir-gawain-and-the-green-knight/']"
36,Tom Swift in Captivity,"['https://librivox.org/present-at-a-hanging-by-ambrose-bierce/', 'https://librivox.org/book-of-john/', 'https://librivox.org/buccaneers-and-the-pirates-of-our-coast/', 'https://librivox.org/vanity-fair-by-william-makepeace-thackeray/', 'https://librivox.org/three-men-in-a-boat-by-jerome-k-jerome/']"
